Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2022,Danville,VA,Passenger,1,0,1,0,1,100.00
February 28 2019,Lincoln,WA,Passenger,3,5,8,7733,7741,0.10
March 31 2021,Charles,MD,Passenger,1,1,2,72,74,2.70
July 31 2024,Montgomery,AL,Passenger,2,1,3,26,29,10.34
July 31 2020,Okanogan,WA,Passenger,37,33,70,25911,25981,0.27
April 30 2021,Williamson,TX,Passenger,0,2,2,137,139,1.44
September 30 2024,Skagit,WA,Truck,61,0,61,31123,31184,0.20
January 31 2018,DeKalb,GA,Passenger,1,0,1,86,87,1.15
December 31 2020,Montgomery,PA,Passenger,1,0,1,26,27,3.70
February 28 2022,Galveston,TX,Passenger,0,1,1,23,24,4.17
January 31 2024,Ulster,NY,Passenger,1,0,1,6,7,14.29
October 31 2019,Ferry,WA,Truck,0,0,0,3576,3576,0.00
December 31 2018,New Haven,CT,Passenger,0,1,1,48,49,2.04
June 30 2022,Harford,MD,Passenger,1,1,2,54,56,3.57
March 31 2022,Manassas,VA,Passenger,0,1,1,6,7,14.29
May 31 2021,Danville,VA,Passenger,1,0,1,0,1,100.00
September 30 2023,Yakima,WA,Passenger,577,275,852,166137,166989,0.51
November 30 2020,Lewis,WA,Passenger,116,119,235,58611,58846,0.40
August 31 2022,Asotin,WA,Passenger,24,18,42,12560,12602,0.33
April 30 2024,King,WA,Truck,1261,2,1263,171165,172428,0.73
September 30 2020,Juneau,AK,Passenger,0,1,1,33,34,2.94
June 30 2020,Moore,NC,Passenger,0,2,2,166,168,1.19
April 30 2021,Cumberland,NC,Passenger,1,2,3,446,449,0.67
November 30 2019,Mercer,NJ,Passenger,0,1,1,17,18,5.56
October 31 2023,Contra Costa,CA,Passenger,1,1,2,160,162,1.23
December 31 2022,Jefferson,WA,Passenger,479,231,710,24266,24976,2.84
February 28 2021,Rockingham,NH,Passenger,1,0,1,25,26,3.85
October 31 2022,Harrison,MS,Passenger,1,0,1,50,51,1.96
April 30 2020,Ferry,WA,Truck,0,0,0,3542,3542,0.00
May 31 2021,Moore,NC,Passenger,0,1,1,139,140,0.71
April 30 2019,Penobscot,ME,Passenger,0,1,1,15,16,6.25
September 30 2018,Thurston,WA,Passenger,618,522,1140,194473,195613,0.58
June 30 2021,Polk,FL,Passenger,1,0,1,72,73,1.37
July 31 2020,Duval,FL,Passenger,0,2,2,371,373,0.54
October 31 2022,Island,WA,Truck,13,0,13,21175,21188,0.06
September 30 2024,Jefferson,WA,Passenger,786,317,1103,23738,24841,4.44
May 31 2024,Grant,WA,Passenger,436,188,624,67752,68376,0.91
June 30 2020,Essex,MA,Passenger,1,0,1,21,22,4.55
February 28 2018,Sedgwick,KS,Passenger,0,1,1,107,108,0.93
March 31 2022,Portsmouth,VA,Passenger,0,1,1,74,75,1.33
October 31 2021,Franklin,OH,Passenger,1,0,1,71,72,1.39
August 31 2018,Kittitas,WA,Passenger,52,34,86,29113,29199,0.29
November 30 2018,Marion,IN,Passenger,1,0,1,122,123,0.81
April 30 2017,Riverside,CA,Passenger,1,1,2,843,845,0.24
February 28 2021,San Bernardino,CA,Passenger,1,0,1,399,400,0.25
August 31 2019,Whatcom,WA,Truck,2,0,2,42977,42979,0.00
September 30 2020,Moore,NC,Passenger,0,1,1,163,164,0.61
July 31 2018,Sumter,FL,Passenger,0,1,1,10,11,9.09
November 30 2019,Penobscot,ME,Passenger,0,1,1,14,15,6.67
December 31 2017,Ada,ID,Passenger,0,1,1,368,369,0.27
June 30 2019,Stevens,WA,Truck,0,0,0,18645,18645,0.00
December 31 2021,Multnomah,OR,Passenger,3,5,8,667,675,1.19
July 31 2019,Putnam,TN,Passenger,0,1,1,3,4,25.00
June 30 2019,Grays Harbor,WA,Passenger,73,83,156,47912,48068,0.32
March 31 2022,Orange,NC,Passenger,1,0,1,11,12,8.33
May 31 2017,Cowlitz,WA,Truck,0,0,0,27868,27868,0.00
August 31 2017,Kittitas,WA,Truck,0,0,0,13613,13613,0.00
January 31 2022,Clallam,WA,Truck,1,0,1,22119,22120,0.00
June 30 2022,Lexington,SC,Passenger,1,0,1,24,25,4.00
July 31 2024,Whitman,WA,Truck,11,0,11,8571,8582,0.13
April 30 2019,Lee,AL,Passenger,1,0,1,37,38,2.63
June 30 2020,Thurston,WA,Truck,0,0,0,55703,55703,0.00
September 30 2019,Grays Harbor,WA,Truck,0,0,0,20629,20629,0.00
November 30 2023,Columbia,WA,Truck,0,0,0,1554,1554,0.00
April 30 2019,Rogers,OK,Passenger,1,0,1,7,8,12.50
June 30 2021,Lee,FL,Passenger,1,0,1,40,41,2.44
October 31 2024,Montgomery,OH,Passenger,0,1,1,34,35,2.86
April 30 2021,New Haven,CT,Passenger,0,2,2,33,35,5.71
October 31 2020,Nassau,FL,Passenger,1,0,1,37,38,2.63
August 31 2019,Kittitas,WA,Truck,0,0,0,14527,14527,0.00
June 30 2019,Mason,WA,Truck,0,0,0,20349,20349,0.00
December 31 2018,Guadalupe,TX,Passenger,1,0,1,81,82,1.22
March 31 2017,Clackamas,OR,Passenger,1,2,3,343,346,0.87
October 31 2019,Whitman,WA,Truck,0,0,0,8597,8597,0.00
August 31 2022,Frederick,MD,Passenger,1,0,1,61,62,1.61
December 31 2022,Doña Ana,NM,Passenger,1,0,1,14,15,6.67
July 31 2020,Manassas,VA,Passenger,0,1,1,5,6,16.67
June 30 2019,Skagit,WA,Passenger,299,199,498,91913,92411,0.54
November 30 2024,Grays Harbor,WA,Passenger,514,262,776,46393,47169,1.65
April 30 2018,Ferry,WA,Passenger,2,3,5,4413,4418,0.11
February 28 2022,Bexar,TX,Passenger,2,4,6,531,537,1.12
March 31 2021,Thurston,WA,Truck,0,0,0,56454,56454,0.00
June 30 2021,Williamson,TX,Passenger,0,2,2,130,132,1.52
